Study Id,Subject Id,Organ,Compartment,Species,Gender,Dose,Molecule,Molecular Weight,Time,Time unit,Measurement,Measurement unit,Error,LLOQ,Route,Group Id,Population,Weight [kg],Height [cm],Age [year(s)],subject Id2
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,15,Atezolizumab,144000,26.6,hr,261.41,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,12
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,15,Atezolizumab,144000,72.91,hr,192.07,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,12
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,15,Atezolizumab,144000,171.43,hr,143.71,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,12
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,15,Atezolizumab,144000,340.89,hr,94.71,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,12
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,15,Atezolizumab,144000,510.34,hr,67.11,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,12
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,1,hr,559.8,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,5.91,hr,442.25,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,23.65,hr,389.54,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,76.85,hr,266.19,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,167.49,hr,214.15,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,337.93,hr,141.13,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Atezolizumab,144000,511.33,hr,111.49,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,13
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,0.55,hr,9.11,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,8.87,hr,6.16,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,27.61,hr,4.95,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,73.3,hr,4.35,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,124.21,hr,3.12,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,0.5,Atezolizumab,144000,164.91,hr,2.48,ug/mL,.,.,IV Bolus,.,.,5,45,.,1
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,0.74,hr,118.8,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,8.56,hr,94.22,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,22.29,hr,69.5,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,49.43,hr,59.29,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,101.94,hr,47.77,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,144.31,hr,39.04,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,193.38,hr,34.31,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,242.42,hr,31.5,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,291.5,hr,27.29,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,349.08,hr,21.67,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,1176.91,hr,1.39,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,1344.76,hr,0.57,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,1005.51,hr,4.35,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,478.11,hr,8.6,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,666.7,hr,18.39,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,839.17,hr,13.63,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,410.2,hr,14.05,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,504.32,hr,25.92,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Atezolizumab,144000,332.73,hr,10.48,ug/mL,.,.,IV Bolus,.,.,5,45,.,2
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,0.62,hr,603.49,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,10.86,hr,408.05,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,24.58,hr,309.85,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,70.26,hr,276.28,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,117.68,hr,229.12,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,170.16,hr,192.81,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,324.24,hr,111.61,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,501.76,hr,85.19,ug/mL,.,.,IV Bolus,.,.,5,45,.,3
Chen 2024 Supp Fig 2,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,674.61,hr,38,ug/mL,.,.,IV Bolus,.,.,5,45,.,4
Chen 2024 Supp Fig 3,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,840.21,hr,33.03,ug/mL,.,.,IV Bolus,.,.,5,45,.,5
Chen 2024 Supp Fig 4,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,1009.45,hr,20.28,ug/mL,.,.,IV Bolus,.,.,5,45,.,6
Chen 2024 Supp Fig 5,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,1175.3,hr,12.44,ug/mL,.,.,IV Bolus,.,.,5,45,.,7
Chen 2024 Supp Fig 6,.,Venous Blood,Plasma,NHP,.,20,Atezolizumab,144000,1342.98,hr,6.42,ug/mL,.,.,IV Bolus,.,.,5,45,.,8
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,2.97,hr,19.19,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,4.63,hr,14.53,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,11.09,hr,12.52,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,24.01,hr,9.28,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,36.96,hr,7.99,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,47.34,hr,7.82,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Avelumab,147000,168.59,hr,1.45,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,15
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,2.89,hr,87.5,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,4.13,hr,69.17,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,10.15,hr,58.3,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,23.08,hr,44.16,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,38.17,hr,34.91,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,49.85,hr,33.45,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,169.98,hr,13.34,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,3,Avelumab,147000,338.11,hr,4.3,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,16
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,1.02,hr,308.72,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,4.46,hr,271.57,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,8.75,hr,238.89,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,14.79,hr,214.68,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,24.29,hr,192.92,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,37.65,hr,152.51,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,49.33,hr,146.13,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,169.04,hr,60.84,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,10,Avelumab,147000,337.65,hr,23.76,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,17
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,2.87,hr,515.58,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,5.43,hr,434.56,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,11.89,hr,366.27,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,23.98,hr,322.2,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,37.77,hr,249.32,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,47.72,hr,238.89,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,170.06,hr,118.01,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,20,Avelumab,147000,337.38,hr,47.08,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,18
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,1.85,hr,102.19,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,7.34,hr,77.91,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,23.83,hr,37.15,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,48.8,hr,26.62,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,73.77,hr,17.37,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,95.25,hr,12.45,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,120.24,hr,9.7,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,144.93,hr,7.25,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,169.04,hr,5.65,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,198.09,hr,3.84,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Chen 2024 Supp Fig 1,.,Venous Blood,Plasma,NHP,.,5,Avelumab,147000,240.5,hr,2.51,ug/mL,.,.,IV Bolus,.,.,5,45,.,14
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,0,hr,3789.8,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,0.48,hr,2836.81,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,0.96,hr,2454.35,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,3.6,hr,2123.46,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,6.72,hr,1636.2,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,13.68,hr,1189.79,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,24,hr,903.6,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,48,hr,484.77,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,72,hr,292.02,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,96,hr,203.32,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,120.24,hr,131.67,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,168,hr,59.37,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,150,Belimumab,147000,216.24,hr,20.33,ug/mL,.,.,IV,.,.,5,45,.,39
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,0,hr,1260.75,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,0.48,hr,865.18,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,0.96,hr,737.78,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,3.12,hr,585.19,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,6.48,hr,477.8,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,13.68,hr,413.38,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,24,hr,279.6,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,47.76,hr,181.08,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,72,hr,122.48,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,96,hr,94.37,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,120.24,hr,69.63,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,50,Belimumab,147000,168.24,hr,32.32,ug/mL,.,.,IV,.,.,5,45,.,40
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,0,hr,109.08,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,0.24,hr,81.65,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,0.96,hr,79.32,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,3.36,hr,64.76,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,6.72,hr,50.63,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,13.68,hr,39.01,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,24,hr,31.85,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,48,hr,20.93,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,72,hr,15.89,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,96,hr,8.53,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,120.24,hr,5.68,ug/mL,.,.,IV,.,.,5,45,.,41
Halpern 2006 Fig 1,.,Venous Blood,Plasma,NHP,.,5,Belimumab,147000,168,hr,2.35,ug/mL,.,.,IV,.,.,5,45,.,41
